"","DATE","MONTH","AVG_PRICE","CPI","GDP","FEDRATE","JO","PCE","POP","UNRATE","AVG_VOLUME","GLD_PRICE"
"1","2014-02-01","2014-02",0,0.010675491739838,0,0.00378787878787879,0,0.000237944162436557,0,0.289473684210526,0.347128505172237,0.268069571640066
"2","2014-03-01","2014-03",0.0127320871553868,0.0170941311484157,0,0.00568181818181818,0.00192086054552439,0.00638483502538076,0.0105401093892434,0.289473684210526,0.327150640003004,0.305325553527493
"3","2014-04-01","2014-04",0.0135025557815709,0.0229656516053267,0.0257501202412223,0.00757575757575757,0.0247150723524139,0.0132059010152284,0.0215360072926162,0.245614035087719,0.28200246329065,0.26514866538668
"4","2014-05-01","2014-05",0.020853056159978,0.028970615708986,0.0257501202412223,0.00757575757575757,0.0478934562684082,0.0195510786802034,0.0332155879671832,0.254385964912281,0.159513373573672,0.252764472829909
"5","2014-06-01","2014-06",0.036392717758509,0.0331474018521976,0.0257501202412223,0.00946969696969697,0.0779869381482904,0.0237547588832489,0.0453509571558797,0.236842105263158,0.136515231456275,0.245849416724282
"6","2014-07-01","2014-07",0.043781716941649,0.0367103472203685,0.0317066854119649,0.00757575757575757,0.0605711358688693,0.0292274746192897,0.0585688240656335,0.245614035087719,0.165268772930698,0.277863226854623
"7","2014-08-01","2014-08",0.0416594063963669,0.0362032613627264,0.0317066854119649,0.00757575757575757,0.124983992828787,0.0287515862944166,0.0727552415679125,0.236842105263158,0.170094646427358,0.259409108734989
"8","2014-09-01","2014-09",0.0507505065017271,0.036430115562198,0.0317066854119649,0.00757575757575757,0.0692790370085798,0.0300999365482234,0.0868277119416591,0.219298245614035,0.230075628836988,0.192466027038818
"9","2014-10-01","2014-10",0.0369419230645636,0.0358029304224825,0.0234192903918012,0.00757575757575757,0.0818286592393392,0.0289498730964468,0.100330446672744,0.201754385964912,0.554018528653119,0.177411917952072
"10","2014-11-01","2014-11",0.0655620946031614,0.0298379994128478,0.0234192903918012,0.00757575757575757,0.0601869637597644,0.0252617385786802,0.11246581586144,0.210526315789474,0.149835853267381,0.125091895620538
"11","2014-12-01","2014-12",0.0690700801573521,0.0200832688355707,0.0234192903918012,0.0132575757575758,0.0969394288641311,0.0184803299492389,0.12380355515041,0.192982456140351,0.403633607542811,0.149941633567643
"12","2015-01-01","2015-01",0.0630400739101136,0,0.028487920381812,0.0113636363636364,0.124343705980279,0,0.134172743846855,0.201754385964912,0.498172464196667,0.210101096944988
